project,github_repo_name,notes
vscode,0,
PowerToys,0,
TypeScript,0,
terminal,0,
Web-Dev-For-Beginners,0,
playwright,0,
ML-For-Beginners,0,
monaco-editor,0,
TaskMatrix,0,
calculator,0,
DeepSpeed,0,
cascadia-code,0,
api-guidelines,0,
JARVIS,0,
winget-cli,0,
Data-Science-For-Beginners,0,
vcpkg,0,
CNTK,0,
MS-DOS,0,
recommenders,0,
fluentui,0,
react-native-windows,0,
WSL,0,
LightGBM,0,
AirSim,0,
dotnet,0,
AI-For-Beginners,0,
nni,0,
IoT-For-Beginners,0,
unilm,0,
Bringing-Old-Photos-Back-to-Life,0,
ai-edu,0,
qlib,0,
TypeScript-React-Starter,0,
TypeScript-Node-Starter,0,
Swin-Transformer,0,
guidance,0,
frontend-bootcamp,0,
pyright,0,
semantic-kernel,0,
onnxruntime,0,
language-server-protocol,0,
napajs,0,
Windows-universal-samples,0,
computervision-recipes,0,
vscode-tips-and-tricks,0,
STL,0,
playwright-python,0,
wslg,0,
sql-server-samples,0,
windows-rs,0,
react-native-code-push,0,
fast,0,
reactxp,0,
mimalloc,0,
fluentui-emoji,0,
c9-python-getting-started,0,
cpprestsdk,0,
ailab,0,
azuredatastudio,0,
botframework-sdk,0,
vscode-extension-samples,0,
winget-pkgs,0,
WSL2-Linux-Kernel,0,
reverse-proxy,0,
winfile,0,
WinObjC,0,
nlp-recipes,0,
Windows-driver-samples,0,
SandDance,0,
vscode-go,0,
VFSForGit,0,
MixedRealityToolkit-Unity,0,
MMdnn,0,
vscode-recipes,0,
ethr,0,
FASTER,0,
microsoft-ui-xaml,0,
GSL,0,
BosqueLanguage,0,
DirectX-Graphics-Samples,0,
vscode-cpptools,0,
vscode-docs,0,
rushstack,0,
LoRA,0,
TypeScript-Handbook,0,
fluentui-system-icons,0,
SPTAG,0,
vscode-dev-containers,0,
TypeScript-Vue-Starter,0,
tsdoc,0,
DeepSpeedExamples,0,
FluidFramework,0,
Windows-classic-samples,0,
SynapseML,0,
WPF-Samples,0,
QuantumKatas,0,
code-push,0,
Detours,0,
tsyringe,0,
codetour,0,
ApplicationInspector,0,
BotBuilder-Samples,0,
VoTT,0,
BioGPT,0,
vscode-python,0,
malmo,0,
VisualStudioUninstaller,0,
CBL-Mariner,0,
Quantum,0,
perfview,0,
Microsoft-3D-Movie-Maker,0,
verona,0,
msquic,0,
WindowsAppSDK,0,
muzic,0,
tensorwatch,0,
azure-pipelines-tasks,0,
WinAppDriver,0,
hummingbird,0,
vscode-remote-release,0,
TypeScriptSamples,0,
checkedc,0,
SEAL,0,
GW-BASIC,0,
service-fabric,0,
Power-Fx,0,
referencesource,0,
react-native-macos,0,
Git-Credential-Manager-for-Windows,0,
human-pose-estimation.pytorch,0,
DMTK,0,
onefuzz,0,
RulesEngine,0,
NUWA,0,
devicescript,0,
plcrashreporter,0,
DirectXShaderCompiler,0,
AcademicContent,0,
forecasting,0,
AttackSurfaceAnalyzer,0,
bond,0,
FLAML,0,
vscode-react-native,0,
pai,0,
nodejs-guidelines,0,
TemplateStudio,0,
PTVS,0,
dts-gen,0,
AI-System,0,
dotnet-podcasts,0,
DirectXTK,0,
wil,0,
microsoft.github.io,0,
ELL,0,
vscode-chrome-debug,0,
DialoGPT,0,
devhome,0,
restler-fuzzer,0,
presidio,0,
AutonomousDrivingCookbook,0,
WinUI-Gallery,0,
GraphEngine,0,
prompt-engine,0,
vscode-pull-request-github,0,
TypeScript-Babel-Starter,0,
WebTemplateStudio,0,
USBuildingFootprints,0,
playwright-dotnet,0,
TypeScript-Website,0,
pxt,0,
TypeScript-React-Native-Starter,0,
just,0,
ebpf-for-windows,0,
Codex-CLI,0,
Deep3DFaceReconstruction,0,
nodejstools,0,
microsoft-pdb,0,
LMOps,0,
code-with-engineering-playbook,0,
beginners-intro-javascript-node,0,
TypeScript-Sublime-Plugin,0,
msphpsql,0,
BotFramework-Emulator,0,
BlingFire,0,
torchscale,0,
onnxjs,0,
torchgeo,0,
Microsoft-365-Defender-Hunting-Queries,0,
Microsoft.IO.RecyclableMemoryStream,0,
Win2D,0,
FluentDarkModeKit,0,
ShaderConductor,0,
maker.js,0,
DeBERTa,0,
Pyjion,0,
Recognizers-Text,0,
vscode-webview-ui-toolkit,0,
azure-pipelines-agent,0,
pylance-release,0,
